Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
40,male,2,own,little,moderate,1585,24,furniture/equipment,good
32,male,1,own,little,moderate,1301,18,radio/TV,good
28,male,2,own,moderate,rich,1323,6,car,good
27,female,2,own,little,little,3123,24,car,bad
42,male,2,free,little,little,5493,36,car,good
49,male,2,own,moderate,rich,1126,9,radio/TV,good
38,male,2,own,moderate,moderate,1216,24,radio/TV,bad
24,female,2,rent,little,little,1207,24,car,bad
27,male,1,own,moderate,moderate,1309,10,car,bad
36,male,2,own,quite rich,rich,2360,15,car,good
34,male,3,own,moderate,moderate,6850,15,car,bad
28,male,2,own,little,moderate,1413,24,radio/TV,good
45,male,3,own,moderate,moderate,8588,39,car,good
26,male,2,own,little,little,759,12,car,bad
32,male,3,free,little,moderate,4686,36,car,good
26,male,2,rent,little,rich,2687,15,business,good
20,male,2,rent,little,moderate,585,12,radio/TV,good
54,male,2,own,moderate,moderate,2255,24,car,good
37,female,2,own,little,little,609,6,car,good
40,male,1,own,little,little,1361,6,car,good
23,female,2,rent,little,moderate,7127,36,furniture/equipment,bad
43,male,2,own,moderate,little,1203,6,car,good
36,male,2,free,moderate,moderate,700,6,radio/TV,good
44,male,2,free,little,moderate,5507,24,repairs,good
24,female,2,own,little,little,3190,18,radio/TV,bad
53,male,2,free,little,little,7119,48,furniture/equipment,bad
23,female,2,own,moderate,moderate,3488,24,car,good
26,female,1,own,little,moderate,1113,18,radio/TV,good
30,male,2,own,little,moderate,7966,26,car,good
31,female,2,own,moderate,moderate,1532,15,education,good
42,male,1,own,little,moderate,1503,4,radio/TV,good
31,male,2,rent,little,little,2302,36,radio/TV,bad
41,male,1,own,little,little,662,6,car,good
32,male,2,own,little,moderate,2273,36,education,good
28,female,2,rent,moderate,moderate,2631,15,car,bad
41,male,2,rent,little,moderate,1503,12,car,good
26,male,2,own,moderate,moderate,1311,24,radio/TV,good
25,male,2,own,moderate,moderate,3105,24,radio/TV,good
33,male,2,rent,little,rich,2319,21,education,bad
75,female,3,own,moderate,little,1374,6,car,good
37,female,2,own,little,moderate,3612,18,furniture/equipment,good
42,male,3,free,little,little,7763,48,car,bad
45,female,1,own,little,rich,3049,18,furniture/equipment,good
23,male,2,rent,little,moderate,1534,12,radio/TV,bad
60,male,2,free,little,moderate,2032,24,car,good
31,male,2,own,moderate,little,6350,30,furniture/equipment,bad
34,male,1,own,little,rich,2864,18,furniture/equipment,bad
61,male,1,own,little,moderate,1255,12,car,good
43,male,2,free,little,little,1333,24,car,bad
37,female,2,own,little,moderate,2022,24,car,good
32,male,2,own,little,moderate,1552,24,radio/TV,good
24,female,1,own,little,little,626,12,radio/TV,bad
35,male,2,free,moderate,moderate,8858,48,car,good
23,female,2,own,moderate,moderate,996,12,repairs,good
45,male,1,own,quite rich,moderate,1750,6,radio/TV,good
34,male,2,own,little,little,6999,48,radio/TV,bad
27,male,2,own,moderate,moderate,1995,12,car,good
67,female,3,own,little,moderate,1199,9,education,good
22,male,2,own,little,moderate,1331,12,radio/TV,bad
28,female,2,own,moderate,moderate,2278,18,car,bad
29,female,2,own,moderate,moderate,5003,21,car,bad
27,male,2,own,little,little,3552,24,furniture/equipment,bad
31,male,1,own,little,moderate,1928,18,furniture/equipment,bad
49,male,2,free,moderate,little,2964,24,car,good
24,male,1,rent,little,little,1546,24,radio/TV,bad
29,female,2,own,little,rich,683,6,radio/TV,good
37,male,2,free,moderate,moderate,12389,36,car,bad
37,male,3,own,moderate,moderate,4712,24,business,good
23,female,2,rent,moderate,moderate,1553,24,radio/TV,good
36,male,2,own,little,little,1372,12,car,bad
34,male,2,own,rich,moderate,2578,24,radio/TV,good
41,male,2,own,moderate,moderate,3979,48,radio/TV,good
31,female,2,own,little,little,6758,48,radio/TV,bad
23,female,1,rent,little,little,3234,24,furniture/equipment,bad
38,male,2,own,little,moderate,5954,30,radio/TV,good
26,female,3,rent,moderate,moderate,5433,24,car,good
22,female,1,own,little,little,806,15,business,good
27,male,1,own,little,moderate,1082,9,radio/TV,good
24,female,2,own,little,moderate,2788,15,furniture/equipment,good
27,female,2,own,little,moderate,2930,12,radio/TV,good
33,female,2,own,moderate,moderate,1927,24,education,good
27,male,2,own,little,moderate,2820,36,car,bad
27,male,1,own,little,moderate,937,24,education,good
30,male,2,own,little,moderate,1056,18,car,bad
49,male,1,own,little,moderate,3124,12,car,good
26,female,2,rent,little,moderate,1388,9,furniture/equipment,good
33,male,1,rent,little,moderate,2384,36,repairs,bad
52,female,3,free,moderate,moderate,2133,12,car,good
20,female,2,rent,little,little,2039,18,furniture/equipment,bad
36,male,2,rent,little,little,2799,9,car,good
21,male,1,own,little,little,1289,12,furniture/equipment,good
47,male,1,own,little,little,1217,18,domestic appliances,bad
60,male,2,own,little,little,2246,12,furniture/equipment,bad
58,female,1,own,little,little,385,12,radio/TV,good
42,female,2,rent,moderate,moderate,1965,24,car,good
36,female,1,own,rich,moderate,1572,21,business,good
20,female,1,rent,little,moderate,2718,24,car,bad
40,male,3,own,moderate,little,1358,24,vacation/others,bad
32,female,1,own,moderate,moderate,931,6,car,bad
23,female,2,rent,little,little,1442,24,car,bad
36,male,1,own,little,moderate,4241,24,business,bad
31,male,2,own,little,moderate,2775,18,car,bad
32,male,2,free,little,moderate,3863,24,business,good
45,female,2,own,little,moderate,2329,7,radio/TV,good
30,female,2,own,little,moderate,918,9,furniture/equipment,bad
34,female,1,free,little,moderate,1837,24,education,bad
28,female,3,own,little,moderate,3349,36,furniture/equipment,bad
23,female,2,own,little,rich,1275,10,furniture/equipment,good
22,male,2,own,quite rich,little,2828,24,furniture/equipment,good
74,male,3,own,little,moderate,4526,24,business,good
50,female,2,free,moderate,moderate,2671,36,radio/TV,bad
33,male,2,own,little,moderate,2051,18,radio/TV,good
45,male,2,free,moderate,moderate,1300,15,car,good
22,female,2,own,moderate,little,741,12,domestic appliances,bad
48,female,1,free,moderate,rich,1240,10,car,bad
29,female,2,own,rich,little,3357,21,radio/TV,good
22,female,2,rent,little,little,3632,24,car,good
22,female,2,own,little,moderate,1808,18,furniture/equipment,bad
48,male,3,own,moderate,moderate,12204,48,business,good
27,male,3,free,moderate,moderate,9157,60,radio/TV,good
37,male,2,rent,little,little,3676,6,car,good
21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
49,male,1,own,little,moderate,640,12,car,good
27,male,2,own,little,moderate,3652,21,business,good
32,male,2,own,little,moderate,1530,18,car,bad
38,male,2,own,moderate,moderate,3914,48,business,bad
22,female,2,rent,little,little,1858,12,furniture/equipment,good
65,male,2,free,little,little,2600,18,radio/TV,bad
35,male,2,own,moderate,moderate,1979,15,radio/TV,good
41,male,2,own,little,rich,2116,6,furniture/equipment,good
29,male,2,own,moderate,moderate,1437,9,car,bad
36,male,2,own,quite rich,moderate,4042,42,furniture/equipment,good
64,male,1,own,moderate,moderate,3832,9,education,good
28,female,2,own,little,little,3660,24,radio/TV,good
44,male,2,own,little,little,1553,18,furniture/equipment,bad
23,male,2,own,moderate,moderate,1444,15,radio/TV,good
19,female,2,rent,little,moderate,1980,9,furniture/equipment,bad
25,female,1,own,little,moderate,1355,24,car,bad
47,male,2,own,little,moderate,1393,12,education,good
28,female,2,own,quite rich,moderate,1376,24,radio/TV,good
21,male,2,own,little,moderate,15653,60,radio/TV,good
34,female,2,own,little,moderate,1493,12,radio/TV,good
26,male,2,own,little,little,4370,42,radio/TV,bad
27,female,0,own,little,little,750,18,education,bad
38,male,1,own,little,moderate,1308,15,repairs,good
40,male,3,own,moderate,moderate,4623,15,education,bad
33,male,2,own,little,moderate,1851,24,radio/TV,good
32,male,3,own,little,little,1880,18,radio/TV,good
27,male,2,rent,moderate,moderate,7980,36,business,bad
32,male,2,own,little,little,4583,30,furniture/equipment,good
26,female,2,own,quite rich,moderate,1386,12,car,bad
38,male,2,free,little,rich,947,24,car,bad
40,male,1,rent,little,little,684,12,education,bad
50,male,3,free,little,little,7476,48,education,good
37,male,1,own,little,moderate,1922,12,furniture/equipment,bad
45,male,2,own,little,little,2303,24,car,bad
42,male,3,own,moderate,moderate,8086,36,car,bad
35,male,2,own,little,moderate,2346,24,car,good
22,male,2,free,little,little,3973,14,car,good
41,male,1,own,little,moderate,888,12,car,bad
37,male,2,own,moderate,moderate,10222,48,radio/TV,good
28,female,2,own,little,moderate,4221,30,business,good
41,male,2,own,little,moderate,6361,18,furniture/equipment,good
23,male,2,rent,little,rich,1297,12,radio/TV,good
23,male,2,own,moderate,little,900,12,car,bad
50,male,2,own,little,moderate,2241,21,furniture/equipment,good
35,male,3,own,little,moderate,1050,6,furniture/equipment,good
50,female,1,own,little,rich,1047,6,education,good
27,male,3,own,little,moderate,6314,24,vacation/others,good
34,male,2,own,rich,moderate,3496,30,furniture/equipment,good
27,female,2,own,little,moderate,3609,48,business,good
43,male,2,rent,little,little,4843,12,car,bad
47,male,2,own,little,rich,3017,30,radio/TV,good
27,male,1,own,moderate,moderate,4139,24,business,good
31,male,2,own,moderate,moderate,5742,36,business,good
42,male,3,own,little,moderate,10366,60,car,good
24,male,2,own,quite rich,moderate,2080,6,car,good
41,male,1,own,quite rich,moderate,2580,21,business,bad
26,female,3,rent,little,moderate,4530,30,radio/TV,good
33,male,2,own,little,moderate,5150,24,furniture/equipment,good
24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
64,male,1,rent,little,little,2384,24,radio/TV,good
26,female,2,own,little,moderate,1453,18,radio/TV,good
56,female,2,own,little,moderate,1538,6,education,good
37,male,2,free,moderate,moderate,2279,12,radio/TV,good
33,male,2,own,little,moderate,1478,15,radio/TV,good
47,male,2,free,little,moderate,5103,24,radio/TV,good
31,male,1,own,moderate,moderate,9857,36,business,good
34,male,2,free,moderate,moderate,6527,60,car,good
27,male,2,own,moderate,rich,1347,10,radio/TV,good
30,male,2,free,moderate,moderate,2862,36,car,good
35,male,2,own,moderate,moderate,2753,9,radio/TV,good
31,male,2,own,rich,little,3651,12,car,good
25,male,2,own,little,little,975,15,furniture/equipment,good
25,female,1,own,moderate,moderate,2631,15,repairs,good
29,male,2,own,moderate,moderate,2896,24,radio/TV,good
44,male,1,own,moderate,little,4716,6,car,good
28,male,2,own,little,moderate,2284,24,radio/TV,good
50,male,2,rent,quite rich,moderate,1236,6,car,good
29,male,2,own,little,moderate,1103,12,radio/TV,good
38,female,0,own,little,moderate,926,12,car,good
24,male,2,own,little,moderate,1800,18,radio/TV,good
40,male,3,rent,little,rich,1905,15,education,good
29,female,1,rent,quite rich,moderate,1123,12,furniture/equipment,bad
46,male,2,free,little,little,6331,48,car,bad
47,female,2,free,moderate,rich,1377,24,radio/TV,good
41,male,2,own,moderate,moderate,2503,30,business,good
32,female,2,own,little,moderate,2528,27,business,good
35,female,2,free,quite rich,moderate,5324,15,car,good
24,male,2,own,moderate,moderate,6560,48,car,bad
25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
25,female,2,own,little,moderate,1206,9,radio/TV,good
37,male,1,own,little,moderate,2118,9,radio/TV,good
32,male,3,own,quite rich,moderate,629,18,radio/TV,good
35,female,2,free,little,little,1198,6,education,bad
46,male,3,own,moderate,moderate,2476,21,car,good
25,male,1,own,little,little,1138,9,radio/TV,good
27,male,3,own,little,moderate,14027,60,car,bad
63,male,2,own,moderate,moderate,7596,30,car,good
40,male,2,own,moderate,moderate,3077,30,radio/TV,good
32,male,3,free,little,moderate,1505,18,radio/TV,good
31,male,2,own,moderate,rich,3148,24,radio/TV,good
31,male,2,own,moderate,moderate,6148,20,car,good
34,male,3,own,little,rich,1337,9,radio/TV,bad
24,female,2,rent,rich,moderate,433,6,education,bad
24,female,1,own,little,little,1228,12,car,bad
66,female,1,own,quite rich,moderate,790,9,radio/TV,good
21,female,2,rent,little,moderate,2570,27,car,bad
41,female,1,own,rich,moderate,250,6,car,good
47,male,1,own,quite rich,moderate,1316,15,radio/TV,good
25,female,2,rent,little,little,1882,18,radio/TV,bad
59,female,2,rent,little,moderate,6416,48,business,bad
36,male,2,own,rich,rich,1275,24,business,good
33,male,2,own,little,moderate,6403,24,radio/TV,good
21,male,1,rent,little,little,1987,24,radio/TV,bad
44,female,1,own,little,moderate,760,8,radio/TV,good
28,female,2,rent,rich,moderate,2603,24,car,good
37,female,2,own,little,moderate,3380,4,car,good
29,female,0,own,moderate,moderate,3990,36,domestic appliances,good
23,female,3,rent,little,moderate,11560,24,car,bad
35,male,1,own,moderate,little,4380,18,car,good
45,male,3,own,little,moderate,6761,6,car,good
26,female,1,rent,moderate,moderate,4280,30,business,bad
32,male,2,own,moderate,little,2325,24,car,good
23,male,1,own,little,moderate,1048,10,radio/TV,good
41,male,2,own,moderate,moderate,3160,21,radio/TV,good
22,male,2,own,quite rich,little,2483,24,furniture/equipment,good
30,male,3,own,moderate,little,14179,39,furniture/equipment,good
28,male,1,own,little,little,1797,13,business,good
23,female,2,rent,little,little,2511,15,car,good
37,female,1,own,little,little,1274,12,car,bad
26,male,2,own,moderate,moderate,5248,21,car,good
33,male,2,own,little,moderate,3029,15,car,good
49,female,2,own,little,little,428,6,furniture/equipment,good
23,female,1,own,little,little,976,18,car,bad
23,female,1,rent,moderate,moderate,841,12,business,good
25,female,2,own,little,moderate,5771,30,radio/TV,good
55,male,2,free,rich,moderate,1555,12,repairs,bad
32,female,2,rent,moderate,little,1285,24,car,bad
74,male,0,own,little,rich,1299,6,car,good
39,male,2,free,moderate,rich,1271,15,radio/TV,bad
31,male,2,own,little,moderate,1393,24,car,good
35,male,2,own,little,little,691,12,car,bad
59,female,2,own,moderate,moderate,5045,15,car,good
24,female,2,rent,little,little,2124,18,furniture/equipment,bad
24,male,1,own,little,little,2214,12,radio/TV,good
30,male,3,free,moderate,moderate,12680,21,car,bad
27,male,2,own,moderate,moderate,2463,24,car,good
40,male,1,own,little,moderate,1155,12,radio/TV,good
31,male,1,own,little,little,3108,30,furniture/equipment,bad
31,female,2,rent,moderate,moderate,2901,10,car,good
28,male,2,rent,little,moderate,3617,12,furniture/equipment,good
63,male,1,own,little,moderate,1655,12,radio/TV,good
26,female,2,rent,moderate,little,2812,24,car,good
25,female,3,own,little,little,8065,36,education,bad
36,male,3,own,little,moderate,3275,21,car,good
52,male,2,own,moderate,moderate,2223,24,radio/TV,good
66,male,0,free,quite rich,rich,1480,12,car,good
25,female,2,rent,moderate,little,1371,24,car,bad
37,male,2,own,little,moderate,3535,36,car,good
25,female,2,own,little,little,3509,18,radio/TV,good
38,male,3,own,rich,moderate,5711,36,car,good
67,female,2,own,little,moderate,3872,18,repairs,good
25,male,2,own,little,moderate,4933,39,radio/TV,bad
60,male,2,own,rich,moderate,1940,24,car,good
31,male,1,own,little,moderate,1410,12,education,good
23,female,1,own,moderate,moderate,836,12,car,bad
60,male,3,own,moderate,moderate,6468,20,car,good
35,male,1,own,rich,moderate,1941,18,business,good
40,male,2,own,quite rich,moderate,2675,22,radio/TV,good
38,male,2,own,moderate,moderate,2751,48,car,good
50,male,2,free,little,moderate,6224,48,education,bad
27,male,2,own,little,little,5998,40,education,bad
39,female,2,own,little,moderate,1188,21,business,bad
41,male,3,own,moderate,moderate,6313,24,car,good
27,male,2,own,moderate,moderate,1221,6,furniture/equipment,good
51,male,2,free,little,rich,2892,24,furniture/equipment,good
32,male,2,rent,quite rich,moderate,3062,24,furniture/equipment,good
22,female,2,rent,moderate,moderate,2301,9,furniture/equipment,good
51,male,2,free,moderate,little,7511,18,car,bad
22,female,1,rent,little,moderate,1258,12,furniture/equipment,good
54,male,2,own,moderate,moderate,717,24,car,good
35,male,0,own,moderate,moderate,1549,9,car,good
54,male,2,free,little,moderate,1597,24,education,good
48,female,1,rent,little,moderate,1795,18,radio/TV,good
24,female,2,own,little,little,4272,20,furniture/equipment,good
35,male,2,own,moderate,moderate,976,12,radio/TV,good
24,female,0,rent,moderate,moderate,7472,12,car,good
24,male,2,own,little,little,9271,36,car,bad
26,male,1,own,little,moderate,590,6,radio/TV,good
65,male,2,own,moderate,moderate,930,12,radio/TV,good
55,male,3,free,little,moderate,9283,42,car,good
26,female,0,rent,little,moderate,1778,15,car,bad
26,male,2,own,little,moderate,907,8,business,good
28,male,1,own,little,moderate,484,6,radio/TV,good
24,male,2,own,little,little,9629,36,car,bad
54,male,2,own,little,little,3051,48,domestic appliances,bad
46,male,2,free,little,little,3931,48,car,bad
54,female,2,rent,little,moderate,7432,36,car,good
62,male,2,own,quite rich,moderate,1338,6,domestic appliances,good
24,female,2,rent,little,moderate,1554,6,radio/TV,good
43,male,3,own,little,little,15857,36,vacation/others,good
26,male,2,own,little,little,1345,18,radio/TV,bad
27,male,2,own,little,moderate,1101,12,car,good
24,male,2,own,little,rich,3016,12,radio/TV,good
41,male,2,own,little,little,2712,36,furniture/equipment,bad
47,male,1,own,little,little,731,8,car,good
35,male,3,own,little,moderate,3780,18,furniture/equipment,good
30,male,2,own,little,little,1602,21,car,good
33,female,2,rent,little,little,3966,18,car,bad
36,male,2,own,little,moderate,4165,18,business,bad
47,male,2,free,moderate,little,8335,36,car,bad
38,male,2,free,moderate,moderate,6681,48,business,good
44,male,2,own,quite rich,moderate,2375,24,business,good
23,female,2,rent,little,little,1216,18,car,bad
29,male,2,rent,little,little,11816,45,business,bad
42,female,2,own,moderate,moderate,5084,24,radio/TV,good
25,female,1,own,little,rich,2327,15,radio/TV,bad
48,male,2,own,little,little,1082,12,car,bad
21,female,2,own,moderate,moderate,886,12,radio/TV,good
23,female,1,rent,little,moderate,601,4,furniture/equipment,good
63,male,2,own,little,little,2957,24,car,good
46,male,2,own,little,moderate,2611,24,radio/TV,good
29,male,2,own,little,little,5179,36,furniture/equipment,bad
28,male,1,own,little,moderate,2993,21,car,good
23,female,2,own,little,moderate,1943,18,repairs,bad
50,male,2,own,little,moderate,1559,24,business,good
47,male,2,own,little,moderate,3422,18,furniture/equipment,good
35,male,2,own,moderate,moderate,3976,21,furniture/equipment,good
68,male,2,rent,moderate,moderate,6761,18,car,bad
28,male,2,own,little,moderate,1249,24,car,good
59,male,2,own,little,little,1364,9,radio/TV,good
57,male,1,own,little,little,709,12,radio/TV,bad
33,male,2,rent,little,little,2235,20,car,bad
43,male,2,own,moderate,moderate,4042,24,car,good
35,male,2,free,little,moderate,1471,15,radio/TV,good
32,male,1,free,little,little,1442,18,car,bad
45,male,2,own,little,moderate,10875,36,car,good
33,male,2,own,moderate,moderate,1474,24,car,good
40,female,2,own,moderate,moderate,894,10,education,good
28,male,2,free,little,moderate,3343,15,furniture/equipment,good
29,female,2,own,little,little,3959,15,car,bad
26,male,2,rent,moderate,moderate,3577,9,car,good
27,male,2,own,rich,moderate,5804,24,car,good
28,male,2,own,little,moderate,2169,18,business,bad
35,female,2,own,little,little,2439,24,radio/TV,bad
32,male,1,own,rich,moderate,4526,27,furniture/equipment,good
25,male,1,rent,little,moderate,2210,10,furniture/equipment,bad
20,female,2,rent,quite rich,moderate,2221,15,furniture/equipment,good
27,female,2,own,little,little,2389,18,radio/TV,good
42,male,2,own,little,moderate,3331,12,furniture/equipment,good
37,male,2,own,moderate,moderate,7409,36,business,good
24,female,2,rent,little,little,652,12,furniture/equipment,good
40,female,2,own,quite rich,moderate,7678,36,furniture/equipment,good
46,male,2,own,little,rich,1343,6,car,good
26,male,2,own,moderate,little,1382,24,business,good
24,female,2,own,moderate,moderate,874,15,domestic appliances,good
29,male,1,own,little,little,3590,12,furniture/equipment,good
40,female,2,own,rich,moderate,1322,11,car,good
36,male,3,free,little,little,1940,18,radio/TV,good
28,male,2,own,little,moderate,3595,36,radio/TV,good
27,male,3,free,little,little,1422,9,car,bad
36,male,2,own,moderate,moderate,6742,30,radio/TV,good
38,male,3,own,little,moderate,7814,24,car,good
48,male,2,free,moderate,moderate,9277,24,car,good
36,male,2,own,moderate,moderate,2181,30,car,good
65,female,0,own,little,moderate,1098,18,radio/TV,good
43,male,2,own,little,moderate,4057,24,furniture/equipment,bad
53,female,2,own,little,little,795,12,education,bad
34,male,2,own,moderate,moderate,2825,24,business,good
23,male,2,own,little,moderate,15672,48,business,bad
34,male,3,own,little,moderate,6614,36,car,good
40,male,2,rent,moderate,moderate,7824,28,car,good
43,male,3,own,little,little,2442,27,business,good
46,male,2,own,little,moderate,1829,15,radio/TV,good
38,male,1,own,little,little,2171,12,car,good
34,male,2,own,little,moderate,5800,36,car,good
29,male,2,own,moderate,moderate,1169,18,radio/TV,good
31,male,3,own,moderate,moderate,8947,36,car,good
28,female,3,rent,little,little,2606,21,radio/TV,good
35,female,2,own,rich,moderate,1592,12,furniture/equipment,good
33,female,1,rent,moderate,moderate,2186,15,furniture/equipment,good
42,male,2,own,little,little,4153,18,furniture/equipment,bad
43,male,2,rent,little,little,2625,16,car,bad
44,male,2,own,moderate,moderate,3485,20,car,good
42,male,2,free,moderate,moderate,10477,36,car,good
40,male,2,rent,moderate,moderate,1386,15,radio/TV,good
36,male,3,own,little,moderate,1278,24,radio/TV,good
20,male,3,rent,little,little,1107,12,radio/TV,good
24,male,1,own,moderate,little,3763,21,car,good
27,male,2,own,moderate,moderate,3711,36,education,good
46,female,1,own,little,moderate,3594,15,car,good
33,female,1,own,moderate,moderate,3195,9,car,good
34,female,2,own,little,moderate,4454,36,radio/TV,good
25,female,1,own,little,moderate,4736,24,furniture/equipment,bad
25,female,2,own,moderate,moderate,2991,30,radio/TV,good
28,male,2,own,rich,moderate,2142,11,business,good
31,male,2,rent,little,little,3161,24,business,bad
32,female,3,own,little,moderate,18424,48,vacation/others,bad
32,male,2,own,moderate,moderate,2848,10,car,good
68,male,3,own,little,little,14896,6,car,bad
33,male,2,own,moderate,little,2359,24,furniture/equipment,bad
39,male,3,rent,little,little,3345,24,furniture/equipment,bad
28,female,2,own,little,moderate,1817,18,furniture/equipment,good
37,male,3,own,quite rich,moderate,12749,48,radio/TV,good
22,female,2,rent,little,little,1366,9,radio/TV,bad
30,male,2,rent,little,moderate,2002,12,car,good
55,male,2,own,little,little,6872,24,furniture/equipment,bad
46,male,2,own,little,little,697,12,car,bad
21,female,2,rent,little,little,1049,18,furniture/equipment,good
39,male,2,free,little,little,10297,48,car,bad
58,male,2,own,moderate,moderate,1867,30,radio/TV,good
43,male,1,own,little,little,1344,12,car,good
24,male,1,own,little,little,1747,24,furniture/equipment,good
22,female,2,own,little,moderate,1670,9,radio/TV,bad
30,male,2,own,little,moderate,1224,9,car,good
42,male,2,own,quite rich,moderate,522,12,radio/TV,good
23,female,2,own,little,little,1498,12,radio/TV,good
30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
28,female,1,own,little,rich,745,9,radio/TV,bad
30,male,3,rent,little,moderate,2063,6,radio/TV,good
42,male,2,free,little,moderate,6288,60,education,bad
46,male,3,own,moderate,moderate,6842,24,car,good
45,male,3,own,moderate,moderate,3527,12,car,good
31,male,1,own,little,moderate,1546,10,car,good
31,male,2,own,moderate,moderate,929,24,furniture/equipment,good
42,male,1,own,little,moderate,1455,4,car,good
46,female,2,rent,little,little,1845,15,furniture/equipment,good
30,female,2,own,quite rich,moderate,8358,48,car,good
30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
38,male,3,own,moderate,moderate,2859,12,car,good
43,male,1,own,little,moderate,1533,18,furniture/equipment,bad
31,male,2,own,moderate,moderate,3621,24,radio/TV,bad
40,male,0,own,little,moderate,3590,18,business,good
24,male,2,own,little,little,2145,36,business,bad
28,female,2,rent,quite rich,moderate,4113,24,car,bad
26,female,3,own,little,moderate,10974,36,furniture/equipment,bad
29,female,2,own,little,little,1893,12,car,good
57,female,3,rent,rich,little,1231,24,radio/TV,good
49,male,1,own,moderate,rich,3656,30,radio/TV,good
37,male,1,own,little,moderate,1154,9,radio/TV,good
45,male,1,own,little,little,4006,28,car,bad
30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good
30,male,2,rent,little,moderate,1740,6,radio/TV,good
47,male,2,own,little,moderate,2353,21,car,good
29,male,2,own,moderate,moderate,3556,15,car,good
35,male,2,own,quite rich,moderate,2397,24,radio/TV,bad
22,male,1,own,little,moderate,454,6,repairs,good
26,female,2,own,moderate,moderate,1715,30,radio/TV,good
23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
54,female,3,rent,little,moderate,3568,15,radio/TV,good
29,male,2,rent,moderate,moderate,7166,42,radio/TV,good
40,male,1,own,little,little,3939,11,car,good
22,male,2,own,moderate,moderate,1514,15,repairs,good
43,male,1,own,little,moderate,7393,24,car,good
29,female,0,rent,little,little,1193,24,car,bad
36,male,2,rent,little,little,7297,60,business,bad
33,female,2,own,little,moderate,2831,30,radio/TV,good
57,female,1,own,quite rich,rich,1258,24,radio/TV,good
64,female,2,own,little,moderate,753,6,radio/TV,good
42,male,2,own,moderate,moderate,2427,18,business,good
47,male,1,own,little,moderate,2538,24,car,bad
25,male,2,rent,moderate,moderate,1264,15,car,bad
49,male,2,own,little,moderate,8386,30,furniture/equipment,bad
33,male,3,rent,little,moderate,4844,48,business,bad
28,female,3,own,moderate,rich,2923,21,car,good
26,male,2,own,little,little,8229,36,car,bad
30,male,1,own,little,moderate,2028,24,furniture/equipment,good
25,female,2,rent,little,little,1433,15,furniture/equipment,good
33,male,2,own,little,rich,6289,42,business,good
64,female,2,own,moderate,moderate,1409,13,radio/TV,good
29,male,3,free,little,little,6579,24,car,good
48,male,1,own,little,moderate,1743,24,radio/TV,good
37,male,1,own,moderate,moderate,3565,12,education,good
34,male,1,own,moderate,moderate,1569,15,radio/TV,good
23,male,1,rent,moderate,little,1936,18,radio/TV,good
30,male,3,own,little,little,3959,36,furniture/equipment,good
50,male,2,own,moderate,moderate,2390,12,car,good
31,female,1,own,little,moderate,1736,12,furniture/equipment,good
40,male,3,own,little,little,3857,30,car,good
38,male,2,own,little,moderate,804,12,radio/TV,good
23,male,2,free,little,little,1845,45,radio/TV,bad
27,male,2,own,moderate,moderate,4576,45,car,good
